     1 	     1     3	   2.262e+00  -2.194e-01	  2.553e-01  -3.015e-01   3.951e-01    1
    64 	     1     2	   2.522e+00  -6.993e-01	  3.206e-01  -4.912e-02   3.243e-01    1
     2 	     2     3	  -6.921e-01   1.546e+00	 -6.026e-01   5.608e-01   8.231e-01    1
    65 	     2     2	  -3.143e-01   1.161e+00	 -6.368e-01   4.955e-01   8.069e-01    1
   120 	     2     1	  -1.072e+00   7.573e-01	 -6.967e-01   4.815e-01   8.469e-01    1
   176 	     2     4	   5.238e-02   6.475e-01	 -6.080e-01   3.158e-01   6.851e-01    1
     3 	     3     3	   1.652e+00  -2.828e-02	 -4.692e-03   6.991e-02   7.007e-02    1
    66 	     3     2	   1.856e+00  -6.115e-01	 -1.514e-02  -8.500e-02   8.634e-02    1
   121 	     3     1	   1.112e+00  -8.591e-01	  1.451e-01  -1.950e-01   2.430e-01    1
   177 	     3     4	   2.201e+00  -1.279e+00	  2.182e-01  -2.639e-01   3.424e-01    1
     4 	     4     3	   1.221e+00  -2.398e-01	 -1.236e-01  -2.229e-01   2.549e-01    1
    67 	     4     2	   1.816e+00  -8.008e-01	  8.905e-02  -1.544e-01   1.782e-01    1
     5 	     5     3	   1.101e+00  -1.058e+00	 -1.615e-02  -5.683e-01   5.685e-01    1
    68 	     5     2	   1.042e+00  -1.760e+00	 -3.411e-01  -8.180e-01   8.863e-01    1
   122 	     5     1	   2.677e-01  -1.648e+00	 -2.232e-01  -5.633e-01   6.059e-01    1
     6 	     6     3	   1.413e+00   2.714e-01	  2.522e-02   8.979e-03   2.677e-02    1
   123 	     6     1	   8.717e-01  -4.060e-01	  3.507e-02   4.557e-03   3.536e-02    1
     7 	     7     3	   1.194e+00  -4.130e-02	 -1.149e-01  -1.058e-01   1.562e-01    1
    69 	     7     2	   1.795e+00  -8.538e-01	  1.578e-01  -2.694e-01   3.122e-01    1
   124 	     7     1	   3.871e-01  -5.017e-01	 -2.505e-01   6.693e-02   2.593e-01    1
   178 	     7     4	   1.672e+00  -9.319e-01	  1.140e-01   4.753e-02   1.235e-01    1
    70 	     8     2	   3.378e+00   2.900e+00	  6.100e-01   1.104e+00   1.262e+00    1
   125 	     8     1	   3.178e+00   2.020e+00	  1.085e+00   6.563e-01   1.268e+00    1
   126 	     9     1	   9.388e-01  -3.799e-01	  8.534e-02  -3.603e-01   3.703e-01    1
     8 	    10     3	   1.862e+00   5.602e-01	  3.247e-01   1.482e-01   3.569e-01    1
