   1      2	   5.8451973657e-01    4.5214911003e+01     8.19946e+00 -7.77927e-02  1.62872e-01 -1.54526e-03  2.43406e-02 -5.80472e+00  4.83496e-04 -1.15304e-01 -2.05506e-04  6.39063e-02 -4.08212e-06  1.26942e-03  9.02529e-02 -8.56273e-04  1.55692e-06 -1.22432e-06  6.41521e-09 -2.74212e-06  3.90403e-06 -3.70393e-08
   1      1	   5.8453350221e-01    4.5214922059e+01     8.11530e+00 -4.82040e-02  1.13271e-01 -6.72821e-04  1.58217e-03 -5.76457e+00  2.20836e-05 -8.04605e-02  4.43163e-05  6.38128e-02  6.18557e-07  8.90684e-04  8.98246e-02 -5.33544e-04 -8.93090e-07  1.10836e-06  2.44515e-09 -2.73552e-06  3.86395e-06 -2.29512e-08
   2      4	   6.1162176315e-01    4.5208137728e+01     8.29331e+00  1.62981e-01  8.64645e-01  1.69921e-02  2.39174e-02 -5.87857e+00  2.49359e-03 -6.12888e-01 -1.17454e-04  4.44007e-02 -1.22456e-05  4.62914e-03  6.26260e-02  1.23074e-03 -1.90668e-06 -1.52974e-06  6.23452e-09 -2.78483e-06  3.94897e-06  7.76058e-08
   2      2	   6.1163099332e-01    4.5208132713e+01     8.19107e+00 -7.95422e-02  1.01096e+00 -9.81722e-03  1.73564e-02 -5.80237e+00  2.14215e-03 -7.16138e-01 -7.12558e-05  4.46843e-02 -8.79450e-06  5.51501e-03  6.30692e-02 -6.12452e-04  1.50508e-06 -1.22378e-06  4.28587e-09 -2.75041e-06  3.90028e-06 -3.78748e-08
   2      3	   6.1163350001e-01    4.5208134444e+01     8.25678e+00  7.41800e-02  8.82295e-01  7.92666e-03  1.55136e-03 -5.77251e+00  1.65774e-04 -6.16834e-01  5.10362e-05  4.41741e-02  5.45358e-06  4.72031e-03  6.31804e-02  5.67624e-04  2.13504e-06  6.90693e-07  4.55237e-09 -2.73491e-06  3.93157e-06  3.53220e-08
   2      1	   6.1163685043e-01    4.5208141658e+01     8.11892e+00 -5.13215e-02  9.68520e-01 -6.12223e-03  1.20637e-03 -5.76641e+00  1.43910e-04 -6.87885e-01  5.25312e-05  4.45851e-02  6.26654e-06  5.31864e-03  6.27713e-02 -3.96788e-04 -9.43785e-07  1.10931e-06  1.16320e-09 -2.72958e-06  3.86592e-06 -2.44371e-08
   3      4	   6.3743851129e-01    4.5212768448e+01     8.30281e+00  1.62437e-01  3.41696e-01  6.68496e-03  1.83455e-02 -5.88207e+00  7.54993e-04 -2.42072e-01 -1.84428e-05  2.61969e-02 -7.58999e-07  1.07811e-03  3.69677e-02  7.23241e-04 -1.95015e-06 -1.53068e-06  6.50716e-09 -2.79430e-06  3.95364e-06  7.73496e-08
   3      1	   6.3745507355e-01    4.5212774190e+01     8.12420e+00 -5.27271e-02  3.39854e-01 -2.20570e-03  2.48128e-03 -5.76838e+00  1.03798e-04 -2.41305e-01  5.05853e-05  2.62995e-02  2.11610e-06  1.10017e-03  3.70400e-02 -2.40392e-04 -9.85385e-07  1.10955e-06  9.10219e-10 -2.73810e-06  3.86858e-06 -2.51074e-08
   4      4	   6.4670327241e-01    4.5210989557e+01     8.30471e+00  1.61528e-01  5.80687e-01  1.12944e-02  1.51714e-02 -5.88241e+00  1.06082e-03 -4.11313e-01  1.29083e-05  1.95293e-02  9.02584e-07  1.36554e-03  2.75613e-02  5.36073e-04 -1.96790e-06 -1.53065e-06  5.92669e-09 -2.78729e-06  3.95458e-06  7.69174e-08
   4      1	   6.4671875727e-01    4.5210992961e+01     8.12448e+00 -5.37236e-02  5.73771e-01 -3.79410e-03  2.42869e-03 -5.76820e+00  1.71520e-04 -4.07364e-01  5.36201e-05  1.96664e-02  3.78678e-06  1.38889e-03  2.77003e-02 -1.83169e-04 -1.00256e-06  1.10984e-06  3.81158e-10 -2.73861e-06  3.86875e-06 -2.55822e-08
   5      3	   6.6008100487e-01    4.5207133449e+01     8.24026e+00  7.03104e-02  1.06466e+00  9.08426e-03  4.03531e-04 -5.76736e+00  5.21371e-05 -7.45156e-01  6.20699e-05  1.02061e-02  8.01957e-06  1.31866e-03  1.45815e-02  1.24418e-04  2.04991e-06  6.89076e-07  4.95689e-10 -2.72714e-06  3.92392e-06  3.34812e-08
   5      1	   6.6008699513e-01    4.5207135505e+01     8.12722e+00 -5.53335e-02  1.05336e+00 -7.17171e-03  2.17425e-03 -5.76969e+00  2.81801e-04 -7.47801e-01  5.80702e-05  1.02218e-02  7.52640e-06  1.32484e-03  1.43991e-02 -9.80346e-05 -1.02775e-06  1.11039e-06 -1.48714e-10 -2.73191e-06  3.87009e-06 -2.63491e-08
   6      4	   6.9106404506e-01    4.5207392313e+01     8.31985e+00  1.58189e-01  1.16177e+00  2.20893e-02  1.59422e-03 -5.88785e+00  2.22615e-04 -8.22171e-01  6.65993e-05 -1.18517e-02  9.29983e-06 -1.65496e-03 -1.67567e-02 -3.18602e-04 -2.04936e-06 -1.53107e-06  4.63025e-09 -2.79040e-06  3.96182e-06  7.53277e-08
   6      3	   6.9107042031e-01    4.5207391193e+01     8.22932e+00  6.78190e-02  1.06763e+00  8.79849e-03 -3.83715e-04 -5.76342e+00 -4.97812e-05 -7.47717e-01  6.19397e-05 -1.14242e-02  8.03574e-06 -1.48212e-03 -1.63128e-02 -1.34436e-04  1.99618e-06  6.88024e-07 -2.14074e-09 -2.72690e-06  3.91871e-06  3.22947e-08
