     1       1     2  	-1.079e+00  -1.231e+00    -5.848e-01  -4.955e-01   7.665e-01	 1
     2       2     2  	-4.594e-01  -9.958e-01    -8.727e-02  -1.144e-01   1.439e-01	 1
     3       2     3  	-2.628e-01  -8.031e-01    -3.871e-02  -2.646e-01   2.674e-01	 1
     4       2     4  	-1.183e+00  -4.375e-01     1.073e-01  -4.661e-02   1.170e-01	 1
     5       3     4  	-1.299e+00  -6.392e-01     3.741e-02  -9.662e-02   1.036e-01	 1
     6       4     4  	-1.214e+00  -3.789e-01     4.369e-02  -7.682e-02   8.837e-02	 1
     7       5     3  	-4.698e-01  -2.289e-01     9.210e-02   1.805e-01   2.026e-01	 1
     8       6     2  	-6.289e-01  -6.568e-01    -6.755e-02  -5.545e-02   8.740e-02	 1
     9       6     3  	-6.839e-01  -5.032e-01    -1.505e-01  -1.344e-01   2.018e-01	 1
    10       6     4  	-1.184e+00  -3.785e-01     6.655e-03  -1.542e-01   1.544e-01	 1
    11       7     2  	-1.579e+00   6.894e-01    -1.275e-01   7.594e-02   1.484e-01	 1
    12       7     3  	-1.723e+00  -2.535e-01    -7.378e-02  -1.190e-01   1.400e-01	 1
    13       7     4  	-6.733e-01   9.263e-01     1.510e-01  -1.741e-01   2.305e-01	 1
    14       8     2  	-1.336e+00   1.056e-01    -5.808e-02  -2.768e-01   2.829e-01	 1
    15       8     3  	-1.381e+00  -9.155e-01     7.253e-02  -7.722e-01   7.756e-01	 1
    16       8     4  	-6.892e-01   1.180e+00     2.012e-01   3.711e-01   4.221e-01	 1
    17       9     2  	-4.574e-01  -7.195e-01     3.387e-02  -3.450e-02   4.834e-02	 1
    18       9     3  	-6.021e-01  -5.194e-01    -7.480e-02  -2.504e-01   2.613e-01	 1
    19       9     4  	-1.107e+00  -4.827e-01     1.065e-01  -6.588e-02   1.252e-01	 1
    20      10     4  	-1.251e+00  -4.300e-01     2.551e-02  -7.576e-02   7.994e-02	 1
    21      11     2  	-7.260e-01  -7.672e-01    -1.613e-01  -1.647e-01   2.305e-01	 1
    22      11     3  	-5.702e-01  -7.417e-01    -2.152e-01  -1.740e-01   2.767e-01	 1
    23      11     4  	-1.096e+00  -3.347e-01     7.508e-02  -1.769e-01   1.922e-01	 1
    24      12     2  	-5.043e-01  -8.032e-01    -4.975e-02  -5.404e-02   7.345e-02	 1
    25      12     3  	-3.022e-01  -6.747e-01    -5.412e-02  -1.169e-01   1.288e-01	 1
    26      12     4  	-1.236e+00  -4.124e-01    -2.108e-02  -6.906e-02   7.220e-02	 1
    27      13     2  	-3.089e-02  -1.390e+00     3.826e-02  -1.279e-01   1.335e-01	 1
    28      13     3  	 1.934e-01  -8.735e-01    -5.591e-02  -2.253e-01   2.322e-01	 1
    29      13     4  	-1.371e+00  -9.483e-01    -1.822e-02   1.868e-02   2.609e-02	 1
    30      14     2  	-1.884e+00   5.698e-01    -3.933e-01  -9.688e-02   4.051e-01	 1
    31      14     3  	-1.821e+00  -4.350e-01    -2.486e-01  -1.788e-01   3.063e-01	 1
    32      14     4  	-6.586e-01   8.667e-01     1.306e-01  -3.149e-01   3.409e-01	 1
    33      15     3  	-5.417e-01  -6.538e-01     7.319e-03  -2.305e-01   2.306e-01	 1
    34      16     3  	-1.034e+00  -2.063e-01     1.278e-02   1.151e-01   1.158e-01	 1
    35      17     2  	-3.176e-01  -6.117e-01     1.500e-01   9.274e-02   1.763e-01	 1
    36      17     3  	-2.048e-01  -4.901e-01     1.092e-01  -4.373e-02   1.177e-01	 1
    37      17     4  	-1.012e+00  -4.571e-01     1.644e-01   1.468e-03   1.644e-01	 1
    38      18     2  	-1.117e+00   3.894e-01     6.065e-02   1.215e-01   1.358e-01	 1
    39      18     3  	-1.366e+00  -1.552e-01    -1.054e-01   3.614e-02   1.114e-01	 1
    40      18     4  	-8.541e-01   4.187e-01     3.504e-02  -1.508e-01   1.548e-01	 1
    41      19     4  	-1.375e+00  -7.242e-01    -1.190e-01  -5.586e-02   1.314e-01	 1
