   1	  2      5.8932986032e-01    4.5183790172e+01     8.19153e+00 -7.87026e-02  4.20670e+00 -4.04171e-02  2.05994e-02 -5.80357e+00  1.05787e-02 -2.98038e+00 -1.52297e-04  6.04901e-02 -7.82110e-05  3.10643e-02  8.53634e-02 -8.20149e-04  1.53012e-06 -1.22238e-06  6.11121e-09 -2.75221e-06  3.90031e-06 -3.74731e-08
   1	  3      5.8933317462e-01    4.5183785861e+01     8.25894e+00  7.65125e-02  4.06014e+00  3.76140e-02  3.33222e-03 -5.77456e+00  1.63814e-03 -2.83881e+00  2.84378e-05  5.97661e-02  1.39802e-05  2.93813e-02  8.54691e-02  7.91809e-04  2.15937e-06  6.92752e-07  6.66383e-09 -2.72822e-06  3.93241e-06  3.64309e-08
   2	  1      5.9232313772e-01    4.5172304757e+01     8.11416e+00 -5.48643e-02  5.60631e+00 -3.79073e-02 -4.54506e-03 -5.76706e+00 -3.14032e-03 -3.98463e+00  1.07831e-04  5.83774e-02  7.45033e-05  4.03347e-02  8.21283e-02 -5.55309e-04 -9.31603e-07  1.11122e-06 -2.81154e-10 -2.73767e-06  3.86349e-06 -2.61229e-08
   2	  2      5.9231348531e-01    4.5172301130e+01     8.18886e+00 -7.91172e-02  5.70142e+00 -5.50847e-02  1.89241e-02 -5.80344e+00  1.31757e-02 -4.04059e+00 -1.27828e-04  5.83337e-02 -8.89993e-05  4.06143e-02  8.22956e-02 -7.95100e-04  1.51800e-06 -1.22165e-06  6.04532e-09 -2.75296e-06  3.89906e-06 -3.76708e-08
   2	  3      5.9231829960e-01    4.5172297673e+01     8.25567e+00  7.65213e-02  5.56986e+00  5.16267e-02  3.83426e-03 -5.77437e+00  2.58687e-03 -3.89580e+00  2.46445e-05  5.76145e-02  1.66269e-05  3.88709e-02  8.23630e-02  7.63422e-04  2.14721e-06  6.93249e-07  7.01436e-09 -2.72846e-06  3.93088e-06  3.64354e-08
   2	  4      5.9230881257e-01    4.5172305743e+01     8.28648e+00  1.56596e-01  5.47297e+00  1.03427e-01  1.67923e-02 -5.87796e+00  1.10908e-02 -3.88222e+00 -1.03272e-04  5.82503e-02 -6.82082e-05  3.84725e-02  8.21009e-02  1.55153e-03 -1.89244e-06 -1.52601e-06  2.51199e-09 -2.79170e-06  3.94556e-06  7.45627e-08
   3	  1      5.8861150206e-01    4.5188515347e+01     8.11399e+00 -5.22620e-02  3.52288e+00 -2.26908e-02 -2.22092e-03 -5.76572e+00 -9.64263e-04 -2.50332e+00  8.53005e-05  6.09546e-02  3.70352e-05  2.64649e-02  8.57713e-02 -5.52446e-04 -9.15739e-07  1.11010e-06  5.43459e-10 -2.73678e-06  3.86337e-06 -2.48836e-08
   3	  2      5.8860202029e-01    4.5188513123e+01     8.19260e+00 -7.85628e-02  3.59213e+00 -3.44467e-02  2.11689e-02 -5.80364e+00  9.28173e-03 -2.54467e+00 -1.60142e-04  6.10169e-02 -7.02159e-05  2.67535e-02  8.61168e-02 -8.25812e-04  1.53421e-06 -1.22267e-06  6.10568e-09 -2.74435e-06  3.90081e-06 -3.74065e-08
   3	  3      5.8860462097e-01    4.5188507884e+01     8.26019e+00  7.64683e-02  3.43925e+00  3.18387e-02  3.11293e-03 -5.77464e+00  1.29611e-03 -2.40435e+00  3.04333e-05  6.02931e-02  1.26713e-05  2.51039e-02  8.62345e-02  7.98317e-04  2.16349e-06  6.92532e-07  6.56964e-09 -2.72811e-06  3.93299e-06  3.64098e-08
   3	  4      5.8859762016e-01    4.5188519121e+01     8.28514e+00  1.60223e-01  3.34959e+00  6.47762e-02  2.34823e-02 -5.87647e+00  9.49363e-03 -2.37579e+00 -1.79663e-04  6.07593e-02 -7.26358e-05  2.45643e-02  8.56449e-02  1.65625e-03 -1.87666e-06 -1.52746e-06  4.16992e-09 -2.78337e-06  3.94488e-06  7.62886e-08
